,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
976,-0.3420490265042909,-0.3435417826880558,-0.3418936017788857,-0.3669678014419163,-0.33563408693093344,-0.33302175213472696,-0.33780908063737813,0.05767602548137951,-0.09535706172463376,-0.15615152795253429,0.5732258371064343
975,-0.344653350292099,-0.34743459091167017,-0.34322622531004876,-0.36771369336734305,-0.3396416139545364,-0.3339729347649507,-0.33702300440326194,-0.2527096474835252,-0.09877936757580918,-0.16168427317405376,-3.980512792101841
974,-0.348963955182264,-0.34496815516693735,-0.3435855844645197,-0.13418121006780248,-0.3412290499205375,-0.3348612045282934,-0.335934937013427,-0.2581964788104495,-0.07954941169026464,-0.16515473138820214,-1.8047691052576407
973,-0.34059719082947837,-0.33988670321092174,-0.33526043071927625,-0.15354677450202914,-0.3412020934607376,-0.3347937978852067,-0.33493604319066517,-0.23826194606221285,-0.058182576156608046,-0.17428550390207287,17.531650990213315
972,-0.33872626856812205,-0.3386386272919003,-0.3345267391122314,-0.2484151863020585,-0.3395877010349363,-0.3359427066684849,-0.33432231922904343,-0.2541130265333431,-0.08035294762420375,-0.18801979487118103,0.6220416557702069
971,-0.3347898481302283,-0.3351024121880063,-0.34345082478159306,0.06444654482651746,-0.33989919790373646,-0.3376143914170354,-0.33445270746997413,-0.16782415239891368,-0.05415614764438026,-0.1672004457492835,-20.85185261315968
970,-0.34451864388928133,-0.3474494489583251,-0.34625083152684577,-0.31767012143864704,-0.340504220668137,-0.33992119653600317,-0.3347239749597263,-0.15781474145385987,-0.20449017375068956,-0.17232086453856998,-7.284331513280873
969,-0.35017631280762285,-0.3500644651696081,-0.3512069931989241,-0.3500358035926676,-0.342028758227938,-0.3414775410286055,-0.33556100751788454,-0.20098866465115706,-0.22884418592131017,-0.170836051139301,-12.189876847943209
968,-0.351777822263344,-0.35602254187826965,-0.36025086525310945,-0.022847422370525505,-0.3470276839397415,-0.34396409719580434,-0.33687388221966874,-0.1748469750131646,-0.20578369514713013,-0.15427393276164136,-21.64108180258812
967,-0.35854307716040845,-0.35848897762300247,-0.35860380246178436,0.33261905279747395,-0.35184390475734484,-0.3455653794504645,-0.33838608607138143,-0.05863203974474507,-0.15555302024037476,-0.12800523056391633,2.7807811349193203
966,-0.3528854082420668,-0.3538978412066023,-0.34933533093605473,0.1346251804687355,-0.35302100350194565,-0.34630984837522216,-0.3393175377005583,-0.044595335795893476,-0.1053415022819224,-0.09870171918376591,20.096098131432303
965,-0.35123899665207337,-0.3504359163359835,-0.34652035089269895,-0.2923258690661348,-0.35307491642154576,-0.3466393919636461,-0.33995823853961393,-0.039526132553305504,-0.09779487138742748,-0.09663578014947682,5.347750985932166
964,-0.35077500793125693,-0.3483855058975912,-0.3434358514834901,-0.3753227955749451,-0.35152042723974464,-0.34662441270962696,-0.3403951140825021,-0.04458388292083593,-0.12193413467037817,-0.09909492914406293,5.924193868557821
963,-0.343949883521829,-0.3414022239697334,-0.33900375524501525,-0.19896883019782874,-0.3472702920779416,-0.34699889406010864,-0.3405487324123342,-0.07981061593015648,-0.1264810690325613,-0.09066957711238521,8.892585886516606
962,-0.3363763902078585,-0.3319673643437978,-0.3270101434645476,0.010488170428612165,-0.3409504998359373,-0.3462469355083413,-0.34074731220455623,-0.14424127616194216,-0.10056377948742701,-0.08879268714048327,25.44112475448682
961,-0.33104800360751563,-0.333022285656304,-0.3339278071881132,1.1380336561573547,-0.33786847793213504,-0.3452942549527157,-0.3411070039036751,0.0564543854752384,0.006906700492601114,-0.021836652304286108,-16.19260158013787
960,-0.268424493675396,-0.2448546368054354,-0.2420366767302733,4.818588891757381,-0.3169682361005205,-0.33486869415530307,-0.33704548513445687,1.078708476752237,0.5210673266998767,0.160409792136061,189.0317631492288
959,-0.24229145152877052,-0.24222476254749747,-0.24811583576007334,0.8248816048046061,-0.29790103353530706,-0.32455547776303517,-0.3326647399822702,1.3187660625412363,0.6386813856660098,0.20712521077808987,-12.840834507934074
958,-0.24714088203020623,-0.24668217654400248,-0.24534577561102655,0.11079079417557192,-0.27916629397429393,-0.3130603982286465,-0.3281581027353919,1.3807222989776884,0.652059120108146,0.2253776887045178,4.4072820907793275
957,-0.2501343576483763,-0.2305166217833443,-0.22704840532921444,0.339886099516042,-0.25917059112707985,-0.2998996256473151,-0.322375309314348,1.4466064697036232,0.6527865813366192,0.2509034175087761,34.226353074725296
956,-0.22700975849801186,-0.22617807216007957,-0.23143558167338063,0.05135802510074705,-0.23866870586806554,-0.28810496103254113,-0.31684729751351337,1.2292562179925883,0.644451197035222,0.2718798289745381,-9.369658995813086
955,-0.22929976734591218,-0.23492946163988437,-0.23919175009071159,0.02005768757556825,-0.238099625050065,-0.2773678317515279,-0.31164076016876596,0.26948318612836464,0.6757220742801395,0.2913241269958451,-15.91444751077681
954,-0.23949255182578144,-0.23892627619008378,-0.2393414830717412,-0.41413579675575174,-0.23634446000086373,-0.26695425435733067,-0.3064237318161279,0.021662459862840322,0.6718367334239179,0.2772861636919113,-1.289417336434593
953,-0.23657391309806552,-0.22888223665129248,-0.22342486718829924,-0.19217845111375897,-0.23195954254006068,-0.2553917681798553,-0.3008267791062954,-0.03893560624112635,0.6725164782640984,0.27534902786905935,29.450604174758674
952,-0.22284882738875533,-0.22846621134495204,-0.22778209693625928,-0.3334187378897103,-0.23210630548786093,-0.2454650165412844,-0.2954846080166721,-0.17360594549047859,0.6380899840231218,0.2710866339143514,-9.273471192474187
951,-0.22920996307736696,-0.22547974396729376,-0.2276623105514357,-0.17623645527462217,-0.2313515246134603,-0.23483423996380792,-0.2896898248723242,-0.21912800946602717,0.5065261470430844,0.2590178938973622,-0.7719272206315995
950,-0.22706962801037534,-0.2295805648440783,-0.2303275576137619,-0.35509832528719676,-0.22957838859105895,-0.23366286229950117,-0.28388829750861755,-0.2941644338563909,-0.01138119611891275,0.2571411046710306,-6.083001279082548
